"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count
	"Lip"	"20010"	"Alaska"	"02"	77
	"Lip"	"20010"	"Arizona"	"04"	592
	"Lip"	"20010"	"Arkansas"	"05"	615
	"Lip"	"20010"	"California"	"06"	6188
	"Lip"	"20010"	"Colorado"	"08"	833
	"Lip"	"20010"	"Connecticut"	"09"	297
	"Lip"	"20010"	"Delaware"	"10"	87
	"Lip"	"20010"	"District of Columbia"	"11"	27
	"Lip"	"20010"	"Florida"	"12"	2416
	"Lip"	"20010"	"Georgia"	"13"	905
	"Lip"	"20010"	"Hawaii"	"15"	144
	"Lip"	"20010"	"Idaho"	"16"	677
	"Lip"	"20010"	"Illinois"	"17"	1558
	"Lip"	"20010"	"Indiana"	"18"	854
	"Lip"	"20010"	"Iowa"	"19"	1175
	"Lip"	"20010"	"Kansas"	"20"	654
	"Lip"	"20010"	"Kentucky"	"21"	1171
	"Lip"	"20010"	"Louisiana"	"22"	765
	"Lip"	"20010"	"Maine"	"23"	402
	"Lip"	"20010"	"Maryland"	"24"	478
	"Lip"	"20010"	"Massachusetts"	"25"	741
	"Lip"	"20010"	"Michigan"	"26"	1260
	"Lip"	"20010"	"Minnesota"	"27"	1542
	"Lip"	"20010"	"Mississippi"	"28"	372
	"Lip"	"20010"	"Missouri"	"29"	992
	"Lip"	"20010"	"Montana"	"30"	352
	"Lip"	"20010"	"Nebraska"	"31"	613
	"Lip"	"20010"	"Nevada"	"32"	327
	"Lip"	"20010"	"New Hampshire"	"33"	164
	"Lip"	"20010"	"New Jersey"	"34"	842
	"Lip"	"20010"	"New Mexico"	"35"	542
	"Lip"	"20010"	"New York"	"36"	1888
	"Lip"	"20010"	"North Carolina"	"37"	1186
	"Lip"	"20010"	"North Dakota"	"38"	464
	"Lip"	"20010"	"Ohio"	"39"	946
	"Lip"	"20010"	"Oklahoma"	"40"	1521
	"Lip"	"20010"	"Oregon"	"41"	689
	"Lip"	"20010"	"Pennsylvania"	"42"	1736
	"Lip"	"20010"	"Rhode Island"	"44"	112
	"Lip"	"20010"	"South Carolina"	"45"	544
	"Lip"	"20010"	"South Dakota"	"46"	337
	"Lip"	"20010"	"Tennessee"	"47"	931
	"Lip"	"20010"	"Texas"	"48"	2704
	"Lip"	"20010"	"Utah"	"49"	493
	"Lip"	"20010"	"Vermont"	"50"	72
	"Lip"	"20010"	"Virginia"	"51"	798
	"Lip"	"20010"	"Washington"	"53"	1605
	"Lip"	"20010"	"West Virginia"	"54"	271
	"Lip"	"20010"	"Wisconsin"	"55"	1089
	"Lip"	"20010"	"Wyoming"	"56"	158
	"Tongue"	"20020"	"Alabama"	"01"	3926
	"Tongue"	"20020"	"Alaska"	"02"	468
	"Tongue"	"20020"	"Arizona"	"04"	4723
	"Tongue"	"20020"	"Arkansas"	"05"	2624
	"Tongue"	"20020"	"California"	"06"	25701
	"Tongue"	"20020"	"Colorado"	"08"	3635
	"Tongue"	"20020"	"Connecticut"	"09"	3282
	"Tongue"	"20020"	"Delaware"	"10"	849
	"Tongue"	"20020"	"District of Columbia"	"11"	428
	"Tongue"	"20020"	"Florida"	"12"	22594
	"Tongue"	"20020"	"Georgia"	"13"	7308
	"Tongue"	"20020"	"Hawaii"	"15"	1358
	"Tongue"	"20020"	"Idaho"	"16"	1241
	"Tongue"	"20020"	"Illinois"	"17"	10171
	"Tongue"	"20020"	"Indiana"	"18"	5052
	"Tongue"	"20020"	"Iowa"	"19"	2740
	"Tongue"	"20020"	"Kansas"	"20"	2221
	"Tongue"	"20020"	"Kentucky"	"21"	3707
	"Tongue"	"20020"	"Louisiana"	"22"	3810
	"Tongue"	"20020"	"Maine"	"23"	1332
	"Tongue"	"20020"	"Maryland"	"24"	4567
	"Tongue"	"20020"	"Massachusetts"	"25"	5852
	"Tongue"	"20020"	"Michigan"	"26"	8604
	"Tongue"	"20020"	"Minnesota"	"27"	4310
	"Tongue"	"20020"	"Mississippi"	"28"	1993
	"Tongue"	"20020"	"Missouri"	"29"	5158
	"Tongue"	"20020"	"Montana"	"30"	838
	"Tongue"	"20020"	"Nebraska"	"31"	1452
	"Tongue"	"20020"	"Nevada"	"32"	2095
	"Tongue"	"20020"	"New Hampshire"	"33"	1260
	"Tongue"	"20020"	"New Jersey"	"34"	7151
	"Tongue"	"20020"	"New Mexico"	"35"	1290
	"Tongue"	"20020"	"New York"	"36"	14850
	"Tongue"	"20020"	"North Carolina"	"37"	8021
	"Tongue"	"20020"	"North Dakota"	"38"	487
	"Tongue"	"20020"	"Ohio"	"39"	10140
	"Tongue"	"20020"	"Oklahoma"	"40"	3079
	"Tongue"	"20020"	"Oregon"	"41"	3720
	"Tongue"	"20020"	"Pennsylvania"	"42"	11734
	"Tongue"	"20020"	"Rhode Island"	"44"	938
	"Tongue"	"20020"	"South Carolina"	"45"	4132
	"Tongue"	"20020"	"South Dakota"	"46"	573
	"Tongue"	"20020"	"Tennessee"	"47"	5596
	"Tongue"	"20020"	"Texas"	"48"	17158
	"Tongue"	"20020"	"Utah"	"49"	1310
	"Tongue"	"20020"	"Vermont"	"50"	602
	"Tongue"	"20020"	"Virginia"	"51"	5971
	"Tongue"	"20020"	"Washington"	"53"	5980
	"Tongue"	"20020"	"West Virginia"	"54"	1779
	"Tongue"	"20020"	"Wisconsin"	"55"	4991
	"Tongue"	"20020"	"Wyoming"	"56"	404
	"Salivary Gland"	"20030"	"Alabama"	"01"	1556
	"Salivary Gland"	"20030"	"Alaska"	"02"	117
	"Salivary Gland"	"20030"	"Arizona"	"04"	1779
	"Salivary Gland"	"20030"	"Arkansas"	"05"	904
	"Salivary Gland"	"20030"	"California"	"06"	9977
	"Salivary Gland"	"20030"	"Colorado"	"08"	1301
	"Salivary Gland"	"20030"	"Connecticut"	"09"	1187
	"Salivary Gland"	"20030"	"Delaware"	"10"	299
	"Salivary Gland"	"20030"	"District of Columbia"	"11"	161
	"Salivary Gland"	"20030"	"Florida"	"12"	7107
	"Salivary Gland"	"20030"	"Georgia"	"13"	2791
	"Salivary Gland"	"20030"	"Hawaii"	"15"	501
	"Salivary Gland"	"20030"	"Idaho"	"16"	463
	"Salivary Gland"	"20030"	"Illinois"	"17"	3779
	"Salivary Gland"	"20030"	"Indiana"	"18"	1772
	"Salivary Gland"	"20030"	"Iowa"	"19"	1018
	"Salivary Gland"	"20030"	"Kansas"	"20"	957
	"Salivary Gland"	"20030"	"Kentucky"	"21"	1203
	"Salivary Gland"	"20030"	"Louisiana"	"22"	1219
	"Salivary Gland"	"20030"	"Maine"	"23"	411
	"Salivary Gland"	"20030"	"Maryland"	"24"	1704
	"Salivary Gland"	"20030"	"Massachusetts"	"25"	1964
	"Salivary Gland"	"20030"	"Michigan"	"26"	2993
	"Salivary Gland"	"20030"	"Minnesota"	"27"	1534
	"Salivary Gland"	"20030"	"Mississippi"	"28"	734
	"Salivary Gland"	"20030"	"Missouri"	"29"	1653
	"Salivary Gland"	"20030"	"Montana"	"30"	302
	"Salivary Gland"	"20030"	"Nebraska"	"31"	582
	"Salivary Gland"	"20030"	"Nevada"	"32"	711
	"Salivary Gland"	"20030"	"New Hampshire"	"33"	330
	"Salivary Gland"	"20030"	"New Jersey"	"34"	3021
	"Salivary Gland"	"20030"	"New Mexico"	"35"	574
	"Salivary Gland"	"20030"	"New York"	"36"	6210
	"Salivary Gland"	"20030"	"North Carolina"	"37"	2732
	"Salivary Gland"	"20030"	"North Dakota"	"38"	177
	"Salivary Gland"	"20030"	"Ohio"	"39"	3601
	"Salivary Gland"	"20030"	"Oklahoma"	"40"	1264
	"Salivary Gland"	"20030"	"Oregon"	"41"	1093
	"Salivary Gland"	"20030"	"Pennsylvania"	"42"	4283
	"Salivary Gland"	"20030"	"Rhode Island"	"44"	319
	"Salivary Gland"	"20030"	"South Carolina"	"45"	1345
	"Salivary Gland"	"20030"	"South Dakota"	"46"	248
	"Salivary Gland"	"20030"	"Tennessee"	"47"	1885
	"Salivary Gland"	"20030"	"Texas"	"48"	6434
	"Salivary Gland"	"20030"	"Utah"	"49"	655
	"Salivary Gland"	"20030"	"Vermont"	"50"	193
	"Salivary Gland"	"20030"	"Virginia"	"51"	2118
	"Salivary Gland"	"20030"	"Washington"	"53"	1810
	"Salivary Gland"	"20030"	"West Virginia"	"54"	608
	"Salivary Gland"	"20030"	"Wisconsin"	"55"	1764
	"Salivary Gland"	"20030"	"Wyoming"	"56"	134
	"Floor of Mouth"	"20040"	"Alabama"	"01"	786
	"Floor of Mouth"	"20040"	"Alaska"	"02"	79
	"Floor of Mouth"	"20040"	"Arizona"	"04"	740
	"Floor of Mouth"	"20040"	"Arkansas"	"05"	472
	"Floor of Mouth"	"20040"	"California"	"06"	3637
	"Floor of Mouth"	"20040"	"Colorado"	"08"	530
	"Floor of Mouth"	"20040"	"Connecticut"	"09"	640
	"Floor of Mouth"	"20040"	"Delaware"	"10"	142
	"Floor of Mouth"	"20040"	"District of Columbia"	"11"	111
	"Floor of Mouth"	"20040"	"Florida"	"12"	3971
	"Floor of Mouth"	"20040"	"Georgia"	"13"	1389
	"Floor of Mouth"	"20040"	"Hawaii"	"15"	172
	"Floor of Mouth"	"20040"	"Idaho"	"16"	198
	"Floor of Mouth"	"20040"	"Illinois"	"17"	2061
	"Floor of Mouth"	"20040"	"Indiana"	"18"	1018
	"Floor of Mouth"	"20040"	"Iowa"	"19"	513
	"Floor of Mouth"	"20040"	"Kansas"	"20"	390
	"Floor of Mouth"	"20040"	"Kentucky"	"21"	819
	"Floor of Mouth"	"20040"	"Louisiana"	"22"	847
	"Floor of Mouth"	"20040"	"Maine"	"23"	330
	"Floor of Mouth"	"20040"	"Maryland"	"24"	717
	"Floor of Mouth"	"20040"	"Massachusetts"	"25"	1176
	"Floor of Mouth"	"20040"	"Michigan"	"26"	1782
	"Floor of Mouth"	"20040"	"Minnesota"	"27"	876
	"Floor of Mouth"	"20040"	"Mississippi"	"28"	419
	"Floor of Mouth"	"20040"	"Missouri"	"29"	972
	"Floor of Mouth"	"20040"	"Montana"	"30"	162
	"Floor of Mouth"	"20040"	"Nebraska"	"31"	260
	"Floor of Mouth"	"20040"	"Nevada"	"32"	318
	"Floor of Mouth"	"20040"	"New Hampshire"	"33"	232
	"Floor of Mouth"	"20040"	"New Jersey"	"34"	1133
	"Floor of Mouth"	"20040"	"New Mexico"	"35"	215
	"Floor of Mouth"	"20040"	"New York"	"36"	2670
	"Floor of Mouth"	"20040"	"North Carolina"	"37"	1600
	"Floor of Mouth"	"20040"	"North Dakota"	"38"	98
	"Floor of Mouth"	"20040"	"Ohio"	"39"	1863
	"Floor of Mouth"	"20040"	"Oklahoma"	"40"	477
	"Floor of Mouth"	"20040"	"Oregon"	"41"	607
	"Floor of Mouth"	"20040"	"Pennsylvania"	"42"	2282
	"Floor of Mouth"	"20040"	"Rhode Island"	"44"	178
	"Floor of Mouth"	"20040"	"South Carolina"	"45"	871
	"Floor of Mouth"	"20040"	"South Dakota"	"46"	113
	"Floor of Mouth"	"20040"	"Tennessee"	"47"	947
	"Floor of Mouth"	"20040"	"Texas"	"48"	2621
	"Floor of Mouth"	"20040"	"Utah"	"49"	186
	"Floor of Mouth"	"20040"	"Vermont"	"50"	122
	"Floor of Mouth"	"20040"	"Virginia"	"51"	1133
	"Floor of Mouth"	"20040"	"Washington"	"53"	925
	"Floor of Mouth"	"20040"	"West Virginia"	"54"	386
	"Floor of Mouth"	"20040"	"Wisconsin"	"55"	1087
	"Floor of Mouth"	"20040"	"Wyoming"	"56"	72
	"Gum and Other Mouth"	"20050"	"Alabama"	"01"	2222
	"Gum and Other Mouth"	"20050"	"Alaska"	"02"	184
	"Gum and Other Mouth"	"20050"	"Arizona"	"04"	1779
	"Gum and Other Mouth"	"20050"	"Arkansas"	"05"	1313
	"Gum and Other Mouth"	"20050"	"California"	"06"	10672
	"Gum and Other Mouth"	"20050"	"Colorado"	"08"	1347
	"Gum and Other Mouth"	"20050"	"Connecticut"	"09"	1598
	"Gum and Other Mouth"	"20050"	"Delaware"	"10"	384
	"Gum and Other Mouth"	"20050"	"District of Columbia"	"11"	222
	"Gum and Other Mouth"	"20050"	"Florida"	"12"	9011
	"Gum and Other Mouth"	"20050"	"Georgia"	"13"	3741
	"Gum and Other Mouth"	"20050"	"Hawaii"	"15"	539
	"Gum and Other Mouth"	"20050"	"Idaho"	"16"	534
	"Gum and Other Mouth"	"20050"	"Illinois"	"17"	5248
	"Gum and Other Mouth"	"20050"	"Indiana"	"18"	2316
	"Gum and Other Mouth"	"20050"	"Iowa"	"19"	1502
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	1049
	"Gum and Other Mouth"	"20050"	"Kentucky"	"21"	1994
	"Gum and Other Mouth"	"20050"	"Louisiana"	"22"	2049
	"Gum and Other Mouth"	"20050"	"Maine"	"23"	639
	"Gum and Other Mouth"	"20050"	"Maryland"	"24"	2117
	"Gum and Other Mouth"	"20050"	"Massachusetts"	"25"	2765
	"Gum and Other Mouth"	"20050"	"Michigan"	"26"	4412
	"Gum and Other Mouth"	"20050"	"Minnesota"	"27"	2261
	"Gum and Other Mouth"	"20050"	"Mississippi"	"28"	1127
	"Gum and Other Mouth"	"20050"	"Missouri"	"29"	2521
	"Gum and Other Mouth"	"20050"	"Montana"	"30"	394
	"Gum and Other Mouth"	"20050"	"Nebraska"	"31"	786
	"Gum and Other Mouth"	"20050"	"Nevada"	"32"	664
	"Gum and Other Mouth"	"20050"	"New Hampshire"	"33"	520
	"Gum and Other Mouth"	"20050"	"New Jersey"	"34"	3428
	"Gum and Other Mouth"	"20050"	"New Mexico"	"35"	558
	"Gum and Other Mouth"	"20050"	"New York"	"36"	7674
	"Gum and Other Mouth"	"20050"	"North Carolina"	"37"	4081
	"Gum and Other Mouth"	"20050"	"North Dakota"	"38"	268
	"Gum and Other Mouth"	"20050"	"Ohio"	"39"	4526
	"Gum and Other Mouth"	"20050"	"Oklahoma"	"40"	1373
	"Gum and Other Mouth"	"20050"	"Oregon"	"41"	1457
	"Gum and Other Mouth"	"20050"	"Pennsylvania"	"42"	5794
	"Gum and Other Mouth"	"20050"	"Rhode Island"	"44"	433
	"Gum and Other Mouth"	"20050"	"South Carolina"	"45"	2030
	"Gum and Other Mouth"	"20050"	"South Dakota"	"46"	274
	"Gum and Other Mouth"	"20050"	"Tennessee"	"47"	2706
	"Gum and Other Mouth"	"20050"	"Texas"	"48"	7692
	"Gum and Other Mouth"	"20050"	"Utah"	"49"	568
	"Gum and Other Mouth"	"20050"	"Vermont"	"50"	250
	"Gum and Other Mouth"	"20050"	"Virginia"	"51"	2967
	"Gum and Other Mouth"	"20050"	"Washington"	"53"	2675
	"Gum and Other Mouth"	"20050"	"West Virginia"	"54"	984
	"Gum and Other Mouth"	"20050"	"Wisconsin"	"55"	2445
	"Gum and Other Mouth"	"20050"	"Wyoming"	"56"	189
	"Nasopharynx"	"20060"	"Alabama"	"01"	626
	"Nasopharynx"	"20060"	"Alaska"	"02"	173
	"Nasopharynx"	"20060"	"Arizona"	"04"	539
	"Nasopharynx"	"20060"	"Arkansas"	"05"	334
	"Nasopharynx"	"20060"	"California"	"06"	6082
	"Nasopharynx"	"20060"	"Colorado"	"08"	422
	"Nasopharynx"	"20060"	"Connecticut"	"09"	382
	"Nasopharynx"	"20060"	"Delaware"	"10"	98
	"Nasopharynx"	"20060"	"District of Columbia"	"11"	86
	"Nasopharynx"	"20060"	"Florida"	"12"	2995
	"Nasopharynx"	"20060"	"Georgia"	"13"	1199
	"Nasopharynx"	"20060"	"Hawaii"	"15"	450
	"Nasopharynx"	"20060"	"Idaho"	"16"	120
	"Nasopharynx"	"20060"	"Illinois"	"17"	1622
	"Nasopharynx"	"20060"	"Indiana"	"18"	626
	"Nasopharynx"	"20060"	"Iowa"	"19"	309
	"Nasopharynx"	"20060"	"Kansas"	"20"	290
	"Nasopharynx"	"20060"	"Kentucky"	"21"	525
	"Nasopharynx"	"20060"	"Louisiana"	"22"	685
	"Nasopharynx"	"20060"	"Maine"	"23"	144
	"Nasopharynx"	"20060"	"Maryland"	"24"	718
	"Nasopharynx"	"20060"	"Massachusetts"	"25"	915
	"Nasopharynx"	"20060"	"Michigan"	"26"	1091
	"Nasopharynx"	"20060"	"Minnesota"	"27"	527
	"Nasopharynx"	"20060"	"Mississippi"	"28"	362
	"Nasopharynx"	"20060"	"Missouri"	"29"	639
	"Nasopharynx"	"20060"	"Montana"	"30"	86
	"Nasopharynx"	"20060"	"Nebraska"	"31"	180
	"Nasopharynx"	"20060"	"Nevada"	"32"	314
	"Nasopharynx"	"20060"	"New Hampshire"	"33"	137
	"Nasopharynx"	"20060"	"New Jersey"	"34"	1180
	"Nasopharynx"	"20060"	"New Mexico"	"35"	189
	"Nasopharynx"	"20060"	"New York"	"36"	3495
	"Nasopharynx"	"20060"	"North Carolina"	"37"	1110
	"Nasopharynx"	"20060"	"North Dakota"	"38"	55
	"Nasopharynx"	"20060"	"Ohio"	"39"	1250
	"Nasopharynx"	"20060"	"Oklahoma"	"40"	456
	"Nasopharynx"	"20060"	"Oregon"	"41"	386
	"Nasopharynx"	"20060"	"Pennsylvania"	"42"	1519
	"Nasopharynx"	"20060"	"Rhode Island"	"44"	133
	"Nasopharynx"	"20060"	"South Carolina"	"45"	600
	"Nasopharynx"	"20060"	"South Dakota"	"46"	66
	"Nasopharynx"	"20060"	"Tennessee"	"47"	806
	"Nasopharynx"	"20060"	"Texas"	"48"	2710
	"Nasopharynx"	"20060"	"Utah"	"49"	171
	"Nasopharynx"	"20060"	"Vermont"	"50"	78
	"Nasopharynx"	"20060"	"Virginia"	"51"	833
	"Nasopharynx"	"20060"	"Washington"	"53"	778
	"Nasopharynx"	"20060"	"West Virginia"	"54"	241
	"Nasopharynx"	"20060"	"Wisconsin"	"55"	548
	"Nasopharynx"	"20060"	"Wyoming"	"56"	37
	"Tonsil"	"20070"	"Alabama"	"01"	2417
	"Tonsil"	"20070"	"Alaska"	"02"	306
	"Tonsil"	"20070"	"Arizona"	"04"	2499
	"Tonsil"	"20070"	"Arkansas"	"05"	1808
	"Tonsil"	"20070"	"California"	"06"	14656
	"Tonsil"	"20070"	"Colorado"	"08"	2050
	"Tonsil"	"20070"	"Connecticut"	"09"	1801
	"Tonsil"	"20070"	"Delaware"	"10"	568
	"Tonsil"	"20070"	"District of Columbia"	"11"	242
	"Tonsil"	"20070"	"Florida"	"12"	13199
	"Tonsil"	"20070"	"Georgia"	"13"	4716
	"Tonsil"	"20070"	"Hawaii"	"15"	533
	"Tonsil"	"20070"	"Idaho"	"16"	678
	"Tonsil"	"20070"	"Illinois"	"17"	5850
	"Tonsil"	"20070"	"Indiana"	"18"	3451
	"Tonsil"	"20070"	"Iowa"	"19"	1626
	"Tonsil"	"20070"	"Kansas"	"20"	1304
	"Tonsil"	"20070"	"Kentucky"	"21"	2945
	"Tonsil"	"20070"	"Louisiana"	"22"	2375
	"Tonsil"	"20070"	"Maine"	"23"	991
	"Tonsil"	"20070"	"Maryland"	"24"	2459
	"Tonsil"	"20070"	"Massachusetts"	"25"	3254
	"Tonsil"	"20070"	"Michigan"	"26"	4870
	"Tonsil"	"20070"	"Minnesota"	"27"	2509
	"Tonsil"	"20070"	"Mississippi"	"28"	1334
	"Tonsil"	"20070"	"Missouri"	"29"	3522
	"Tonsil"	"20070"	"Montana"	"30"	568
	"Tonsil"	"20070"	"Nebraska"	"31"	750
	"Tonsil"	"20070"	"Nevada"	"32"	1045
	"Tonsil"	"20070"	"New Hampshire"	"33"	835
	"Tonsil"	"20070"	"New Jersey"	"34"	3727
	"Tonsil"	"20070"	"New Mexico"	"35"	718
	"Tonsil"	"20070"	"New York"	"36"	7843
	"Tonsil"	"20070"	"North Carolina"	"37"	5247
	"Tonsil"	"20070"	"North Dakota"	"38"	283
