Notes,States,States Code,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Count
,Alabama,1,2001,2001,Corpus Uteri,27020,Female,F,416
,Alabama,1,2001,2001,Esophagus,21010,Female,F,52
,Alabama,1,2001,2001,Esophagus,21010,Male,M,174
,Alabama,1,2001,2001,Gallbladder,21080,Female,F,22
,Alabama,1,2001,2001,Gallbladder,21080,Male,M,21
,Alabama,1,2001,2001,Kidney and Renal Pelvis,29020,Female,F,219
,Alabama,1,2001,2001,Kidney and Renal Pelvis,29020,Male,M,337
,Alabama,1,2001,2001,Larynx,22020,Female,F,45
,Alabama,1,2001,2001,Larynx,22020,Male,M,197
,Alabama,1,2001,2001,Leukemias,35011-35043,Female,F,247
,Alabama,1,2001,2001,Leukemias,35011-35043,Male,M,263
,Alabama,1,2001,2001,Liver,21071,Female,F,53
,Alabama,1,2001,2001,Liver,21071,Male,M,113
,Alabama,1,2001,2001,Lung and Bronchus,22030,Female,F,1352
,Alabama,1,2001,2001,Lung and Bronchus,22030,Male,M,2291
,Alabama,1,2001,2001,Melanoma of the Skin,25010,Female,F,285
,Alabama,1,2001,2001,Melanoma of the Skin,25010,Male,M,347
,Alabama,1,2001,2001,Myeloma,34000,Female,F,127
,Alabama,1,2001,2001,Myeloma,34000,Male,M,141
,Alabama,1,2001,2001,Non-Hodgkin Lymphoma,33041-33042,Female,F,375
,Alabama,1,2001,2001,Non-Hodgkin Lymphoma,33041-33042,Male,M,387
,Alabama,1,2001,2001,Oral Cavity and Pharynx,20010-20100,Female,F,188
,Alabama,1,2001,2001,Oral Cavity and Pharynx,20010-20100,Male,M,373
,Alabama,1,2001,2001,Ovary,27040,Female,F,344
,Alabama,1,2001,2001,Pancreas,21100,Female,F,267
,Alabama,1,2001,2001,Pancreas,21100,Male,M,234
,Alabama,1,2001,2001,Prostate,28010,Male,M,3113
,Alabama,1,2001,2001,Stomach,21020,Female,F,136
,Alabama,1,2001,2001,Stomach,21020,Male,M,190
,Alabama,1,2001,2001,Thyroid,32010,Female,F,191
,Alabama,1,2001,2001,Thyroid,32010,Male,M,51
,Alabama,1,2001,2001,Urinary Bladder invasive and in situ,29010,Female,F,203
,Alabama,1,2001,2001,Urinary Bladder invasive and in situ,29010,Male,M,576
,Alabama,1,2002,2002,Brain and Other Nervous System,31010-31040,Female,F,139
,Alabama,1,2002,2002,Brain and Other Nervous System,31010-31040,Male,M,169
,Alabama,1,2002,2002,Breast,26000,Female,F,3060
,Alabama,1,2002,2002,Breast,26000,Male,M,34
,Alabama,1,2002,2002,Cervix Uteri,27010,Female,F,261
,Alabama,1,2002,2002,Colon and Rectum,21041-21052,Female,F,1139
,Alabama,1,2002,2002,Colon and Rectum,21041-21052,Male,M,1216
,Alabama,1,2002,2002,Corpus Uteri,27020,Female,F,381
,Alabama,1,2002,2002,Esophagus,21010,Female,F,51
,Alabama,1,2002,2002,Esophagus,21010,Male,M,171
,Alabama,1,2002,2002,Gallbladder,21080,Female,F,23
,Alabama,1,2002,2002,Kidney and Renal Pelvis,29020,Female,F,232
,Alabama,1,2002,2002,Kidney and Renal Pelvis,29020,Male,M,385
,Alabama,1,2002,2002,Larynx,22020,Female,F,46
,Alabama,1,2002,2002,Larynx,22020,Male,M,193
,Alabama,1,2002,2002,Leukemias,35011-35043,Female,F,234
,Alabama,1,2002,2002,Leukemias,35011-35043,Male,M,284
,Alabama,1,2002,2002,Liver,21071,Female,F,76
,Alabama,1,2002,2002,Liver,21071,Male,M,135
,Alabama,1,2002,2002,Lung and Bronchus,22030,Female,F,1436
,Alabama,1,2002,2002,Lung and Bronchus,22030,Male,M,2191
,Alabama,1,2002,2002,Melanoma of the Skin,25010,Female,F,283
,Alabama,1,2002,2002,Melanoma of the Skin,25010,Male,M,340
,Alabama,1,2002,2002,Myeloma,34000,Female,F,137
,Alabama,1,2002,2002,Myeloma,34000,Male,M,137
,Alabama,1,2002,2002,Non-Hodgkin Lymphoma,33041-33042,Female,F,368
,Alabama,1,2002,2002,Non-Hodgkin Lymphoma,33041-33042,Male,M,440
,Alabama,1,2002,2002,Oral Cavity and Pharynx,20010-20100,Female,F,174
,Alabama,1,2002,2002,Oral Cavity and Pharynx,20010-20100,Male,M,391
,Alabama,1,2002,2002,Ovary,27040,Female,F,387
,Alabama,1,2002,2002,Pancreas,21100,Female,F,241
,Alabama,1,2002,2002,Pancreas,21100,Male,M,229
,Alabama,1,2002,2002,Prostate,28010,Male,M,3076
,Alabama,1,2002,2002,Stomach,21020,Female,F,129
,Alabama,1,2002,2002,Stomach,21020,Male,M,192
,Alabama,1,2002,2002,Thyroid,32010,Female,F,209
,Alabama,1,2002,2002,Thyroid,32010,Male,M,83
,Alabama,1,2002,2002,Urinary Bladder invasive and in situ,29010,Female,F,216
,Alabama,1,2002,2002,Urinary Bladder invasive and in situ,29010,Male,M,623
,Alabama,1,2003,2003,Brain and Other Nervous System,31010-31040,Female,F,131
,Alabama,1,2003,2003,Brain and Other Nervous System,31010-31040,Male,M,169
,Alabama,1,2003,2003,Breast,26000,Female,F,2895
,Alabama,1,2003,2003,Breast,26000,Male,M,26
,Alabama,1,2003,2003,Cervix Uteri,27010,Female,F,204
,Alabama,1,2003,2003,Colon and Rectum,21041-21052,Female,F,1112
,Alabama,1,2003,2003,Colon and Rectum,21041-21052,Male,M,1264
,Alabama,1,2003,2003,Corpus Uteri,27020,Female,F,440
,Alabama,1,2003,2003,Esophagus,21010,Female,F,48
,Alabama,1,2003,2003,Esophagus,21010,Male,M,196
,Alabama,1,2003,2003,Gallbladder,21080,Female,F,23
,Alabama,1,2003,2003,Gallbladder,21080,Male,M,17
,Alabama,1,2003,2003,Kidney and Renal Pelvis,29020,Female,F,254
,Alabama,1,2003,2003,Kidney and Renal Pelvis,29020,Male,M,397
,Alabama,1,2003,2003,Larynx,22020,Female,F,45
,Alabama,1,2003,2003,Larynx,22020,Male,M,184
,Alabama,1,2003,2003,Leukemias,35011-35043,Female,F,222
,Alabama,1,2003,2003,Leukemias,35011-35043,Male,M,266
,Alabama,1,2003,2003,Liver,21071,Female,F,52
,Alabama,1,2003,2003,Liver,21071,Male,M,128
,Alabama,1,2003,2003,Lung and Bronchus,22030,Female,F,1378
,Alabama,1,2003,2003,Lung and Bronchus,22030,Male,M,2186
,Alabama,1,2003,2003,Melanoma of the Skin,25010,Female,F,266
,Alabama,1,2003,2003,Melanoma of the Skin,25010,Male,M,368
,Alabama,1,2003,2003,Myeloma,34000,Female,F,119
,Alabama,1,2003,2003,Myeloma,34000,Male,M,130
,Alabama,1,2003,2003,Non-Hodgkin Lymphoma,33041-33042,Female,F,365
,Alabama,1,2003,2003,Non-Hodgkin Lymphoma,33041-33042,Male,M,415
,Alabama,1,2003,2003,Oral Cavity and Pharynx,20010-20100,Female,F,150
,Alabama,1,2003,2003,Oral Cavity and Pharynx,20010-20100,Male,M,419
,Alabama,1,2003,2003,Ovary,27040,Female,F,286
,Alabama,1,2003,2003,Pancreas,21100,Female,F,230
,Alabama,1,2003,2003,Pancreas,21100,Male,M,242
,Alabama,1,2003,2003,Prostate,28010,Male,M,3088
,Alabama,1,2003,2003,Stomach,21020,Female,F,123
,Alabama,1,2003,2003,Stomach,21020,Male,M,167
,Alabama,1,2003,2003,Thyroid,32010,Female,F,226
,Alabama,1,2003,2003,Thyroid,32010,Male,M,79
,Alabama,1,2003,2003,Urinary Bladder invasive and in situ,29010,Female,F,196
,Alabama,1,2003,2003,Urinary Bladder invasive and in situ,29010,Male,M,609
,Alabama,1,2004,2004,Brain and Other Nervous System,31010-31040,Female,F,144
,Alabama,1,2004,2004,Brain and Other Nervous System,31010-31040,Male,M,173
,Alabama,1,2004,2004,Breast,26000,Female,F,2937
,Alabama,1,2004,2004,Breast,26000,Male,M,20
,Alabama,1,2004,2004,Cervix Uteri,27010,Female,F,199
,Alabama,1,2004,2004,Colon and Rectum,21041-21052,Female,F,1161
,Alabama,1,2004,2004,Colon and Rectum,21041-21052,Male,M,1310
,Alabama,1,2004,2004,Corpus Uteri,27020,Female,F,442
,Alabama,1,2004,2004,Esophagus,21010,Female,F,39
,Alabama,1,2004,2004,Esophagus,21010,Male,M,189
,Alabama,1,2004,2004,Gallbladder,21080,Female,F,27
,Alabama,1,2004,2004,Kidney and Renal Pelvis,29020,Female,F,282
,Alabama,1,2004,2004,Kidney and Renal Pelvis,29020,Male,M,439
,Alabama,1,2004,2004,Larynx,22020,Female,F,65
,Alabama,1,2004,2004,Larynx,22020,Male,M,213
,Alabama,1,2004,2004,Leukemias,35011-35043,Female,F,236
,Alabama,1,2004,2004,Leukemias,35011-35043,Male,M,301
,Alabama,1,2004,2004,Liver,21071,Female,F,77
,Alabama,1,2004,2004,Liver,21071,Male,M,144
,Alabama,1,2004,2004,Lung and Bronchus,22030,Female,F,1457
,Alabama,1,2004,2004,Lung and Bronchus,22030,Male,M,2347
,Alabama,1,2004,2004,Melanoma of the Skin,25010,Female,F,319
,Alabama,1,2004,2004,Melanoma of the Skin,25010,Male,M,416
,Alabama,1,2004,2004,Myeloma,34000,Female,F,154
,Alabama,1,2004,2004,Myeloma,34000,Male,M,192
,Alabama,1,2004,2004,Non-Hodgkin Lymphoma,33041-33042,Female,F,411
,Alabama,1,2004,2004,Non-Hodgkin Lymphoma,33041-33042,Male,M,458
,Alabama,1,2004,2004,Oral Cavity and Pharynx,20010-20100,Female,F,174
,Alabama,1,2004,2004,Oral Cavity and Pharynx,20010-20100,Male,M,405
,Alabama,1,2004,2004,Ovary,27040,Female,F,349
,Alabama,1,2004,2004,Pancreas,21100,Female,F,270
,Alabama,1,2004,2004,Pancreas,21100,Male,M,255
,Alabama,1,2004,2004,Prostate,28010,Male,M,3269
,Alabama,1,2004,2004,Stomach,21020,Female,F,131
,Alabama,1,2004,2004,Stomach,21020,Male,M,166
,Alabama,1,2004,2004,Thyroid,32010,Female,F,249
,Alabama,1,2004,2004,Thyroid,32010,Male,M,81
,Alabama,1,2004,2004,Urinary Bladder invasive and in situ,29010,Female,F,230
,Alabama,1,2004,2004,Urinary Bladder invasive and in situ,29010,Male,M,601
,Alabama,1,2005,2005,Brain and Other Nervous System,31010-31040,Female,F,140
,Alabama,1,2005,2005,Brain and Other Nervous System,31010-31040,Male,M,159
,Alabama,1,2005,2005,Breast,26000,Female,F,3081
,Alabama,1,2005,2005,Breast,26000,Male,M,17
,Alabama,1,2005,2005,Cervix Uteri,27010,Female,F,197
,Alabama,1,2005,2005,Colon and Rectum,21041-21052,Female,F,1194
,Alabama,1,2005,2005,Colon and Rectum,21041-21052,Male,M,1282
,Alabama,1,2005,2005,Corpus Uteri,27020,Female,F,462
,Alabama,1,2005,2005,Esophagus,21010,Female,F,63
,Alabama,1,2005,2005,Esophagus,21010,Male,M,183
,Alabama,1,2005,2005,Gallbladder,21080,Female,F,23
,Alabama,1,2005,2005,Gallbladder,21080,Male,M,17
,Alabama,1,2005,2005,Kidney and Renal Pelvis,29020,Female,F,294
,Alabama,1,2005,2005,Kidney and Renal Pelvis,29020,Male,M,457
,Alabama,1,2005,2005,Larynx,22020,Female,F,63
,Alabama,1,2005,2005,Larynx,22020,Male,M,202
,Alabama,1,2005,2005,Leukemias,35011-35043,Female,F,249
,Alabama,1,2005,2005,Leukemias,35011-35043,Male,M,299
,Alabama,1,2005,2005,Liver,21071,Female,F,51
,Alabama,1,2005,2005,Liver,21071,Male,M,171
,Alabama,1,2005,2005,Lung and Bronchus,22030,Female,F,1535
,Alabama,1,2005,2005,Lung and Bronchus,22030,Male,M,2231
,Alabama,1,2005,2005,Melanoma of the Skin,25010,Female,F,375
,Alabama,1,2005,2005,Melanoma of the Skin,25010,Male,M,544
,Alabama,1,2005,2005,Myeloma,34000,Female,F,143
,Alabama,1,2005,2005,Myeloma,34000,Male,M,152
,Alabama,1,2005,2005,Non-Hodgkin Lymphoma,33041-33042,Female,F,385
,Alabama,1,2005,2005,Non-Hodgkin Lymphoma,33041-33042,Male,M,481
,Alabama,1,2005,2005,Oral Cavity and Pharynx,20010-20100,Female,F,199
,Alabama,1,2005,2005,Oral Cavity and Pharynx,20010-20100,Male,M,450
,Alabama,1,2005,2005,Ovary,27040,Female,F,346
,Alabama,1,2005,2005,Pancreas,21100,Female,F,265
,Alabama,1,2005,2005,Pancreas,21100,Male,M,274
,Alabama,1,2005,2005,Prostate,28010,Male,M,3352
,Alabama,1,2005,2005,Stomach,21020,Female,F,134
,Alabama,1,2005,2005,Stomach,21020,Male,M,186
,Alabama,1,2005,2005,Thyroid,32010,Female,F,260
,Alabama,1,2005,2005,Thyroid,32010,Male,M,71
,Alabama,1,2005,2005,Urinary Bladder invasive and in situ,29010,Female,F,204
,Alabama,1,2005,2005,Urinary Bladder invasive and in situ,29010,Male,M,694
,Alabama,1,2006,2006,Brain and Other Nervous System,31010-31040,Female,F,164
,Alabama,1,2006,2006,Brain and Other Nervous System,31010-31040,Male,M,144
,Alabama,1,2006,2006,Breast,26000,Female,F,3250
,Alabama,1,2006,2006,Breast,26000,Male,M,24
,Alabama,1,2006,2006,Cervix Uteri,27010,Female,F,199
,Alabama,1,2006,2006,Colon and Rectum,21041-21052,Female,F,1193
,Alabama,1,2006,2006,Colon and Rectum,21041-21052,Male,M,1309
,Alabama,1,2006,2006,Corpus Uteri,27020,Female,F,494
,Alabama,1,2006,2006,Esophagus,21010,Female,F,47
,Alabama,1,2006,2006,Esophagus,21010,Male,M,195
,Alabama,1,2006,2006,Gallbladder,21080,Female,F,30
,Alabama,1,2006,2006,Kidney and Renal Pelvis,29020,Female,F,285
,Alabama,1,2006,2006,Kidney and Renal Pelvis,29020,Male,M,449
,Alabama,1,2006,2006,Larynx,22020,Female,F,57
,Alabama,1,2006,2006,Larynx,22020,Male,M,219
,Alabama,1,2006,2006,Leukemias,35011-35043,Female,F,214
,Alabama,1,2006,2006,Leukemias,35011-35043,Male,M,285
,Alabama,1,2006,2006,Liver,21071,Female,F,65
,Alabama,1,2006,2006,Liver,21071,Male,M,155
,Alabama,1,2006,2006,Lung and Bronchus,22030,Female,F,1484
,Alabama,1,2006,2006,Lung and Bronchus,22030,Male,M,2345
,Alabama,1,2006,2006,Melanoma of the Skin,25010,Female,F,367
,Alabama,1,2006,2006,Melanoma of the Skin,25010,Male,M,541
,Alabama,1,2006,2006,Myeloma,34000,Female,F,134
,Alabama,1,2006,2006,Myeloma,34000,Male,M,151
,Alabama,1,2006,2006,Non-Hodgkin Lymphoma,33041-33042,Female,F,360
,Alabama,1,2006,2006,Non-Hodgkin Lymphoma,33041-33042,Male,M,423
,Alabama,1,2006,2006,Oral Cavity and Pharynx,20010-20100,Female,F,212
,Alabama,1,2006,2006,Oral Cavity and Pharynx,20010-20100,Male,M,505
,Alabama,1,2006,2006,Ovary,27040,Female,F,341
,Alabama,1,2006,2006,Pancreas,21100,Female,F,264
,Alabama,1,2006,2006,Pancreas,21100,Male,M,301
,Alabama,1,2006,2006,Prostate,28010,Male,M,3785
,Alabama,1,2006,2006,Stomach,21020,Female,F,105
,Alabama,1,2006,2006,Stomach,21020,Male,M,176
,Alabama,1,2006,2006,Thyroid,32010,Female,F,249
,Alabama,1,2006,2006,Thyroid,32010,Male,M,103
,Alabama,1,2006,2006,Urinary Bladder invasive and in situ,29010,Female,F,201
,Alabama,1,2006,2006,Urinary Bladder invasive and in situ,29010,Male,M,684
,Alabama,1,2007,2007,Brain and Other Nervous System,31010-31040,Female,F,146
,Alabama,1,2007,2007,Brain and Other Nervous System,31010-31040,Male,M,188
,Alabama,1,2007,2007,Breast,26000,Female,F,3254
,Alabama,1,2007,2007,Breast,26000,Male,M,25
,Alabama,1,2007,2007,Cervix Uteri,27010,Female,F,237
,Alabama,1,2007,2007,Colon and Rectum,21041-21052,Female,F,1179
,Alabama,1,2007,2007,Colon and Rectum,21041-21052,Male,M,1349
,Alabama,1,2007,2007,Corpus Uteri,27020,Female,F,506
,Alabama,1,2007,2007,Esophagus,21010,Female,F,47
,Alabama,1,2007,2007,Esophagus,21010,Male,M,221
,Alabama,1,2007,2007,Gallbladder,21080,Female,F,41
,Alabama,1,2007,2007,Gallbladder,21080,Male,M,17
,Alabama,1,2007,2007,Kidney and Renal Pelvis,29020,Female,F,297
,Alabama,1,2007,2007,Kidney and Renal Pelvis,29020,Male,M,475
,Alabama,1,2007,2007,Larynx,22020,Female,F,53
,Alabama,1,2007,2007,Larynx,22020,Male,M,225
,Alabama,1,2007,2007,Leukemias,35011-35043,Female,F,265
,Alabama,1,2007,2007,Leukemias,35011-35043,Male,M,357
,Alabama,1,2007,2007,Liver,21071,Female,F,70
,Alabama,1,2007,2007,Liver,21071,Male,M,192
,Alabama,1,2007,2007,Lung and Bronchus,22030,Female,F,1590
,Alabama,1,2007,2007,Lung and Bronchus,22030,Male,M,2277
,Alabama,1,2007,2007,Melanoma of the Skin,25010,Female,F,392
,Alabama,1,2007,2007,Melanoma of the Skin,25010,Male,M,579
,Alabama,1,2007,2007,Myeloma,34000,Female,F,142
,Alabama,1,2007,2007,Myeloma,34000,Male,M,174
,Alabama,1,2007,2007,Non-Hodgkin Lymphoma,33041-33042,Female,F,406
,Alabama,1,2007,2007,Non-Hodgkin Lymphoma,33041-33042,Male,M,439
,Alabama,1,2007,2007,Oral Cavity and Pharynx,20010-20100,Female,F,181
,Alabama,1,2007,2007,Oral Cavity and Pharynx,20010-20100,Male,M,475
,Alabama,1,2007,2007,Ovary,27040,Female,F,319
,Alabama,1,2007,2007,Pancreas,21100,Female,F,273
,Alabama,1,2007,2007,Pancreas,21100,Male,M,307
,Alabama,1,2007,2007,Prostate,28010,Male,M,3925
,Alabama,1,2007,2007,Stomach,21020,Female,F,146
,Alabama,1,2007,2007,Stomach,21020,Male,M,189
,Alabama,1,2007,2007,Thyroid,32010,Female,F,293
,Alabama,1,2007,2007,Thyroid,32010,Male,M,99
,Alabama,1,2007,2007,Urinary Bladder invasive and in situ,29010,Female,F,241
,Alabama,1,2007,2007,Urinary Bladder invasive and in situ,29010,Male,M,700
,Alabama,1,2008,2008,Brain and Other Nervous System,31010-31040,Female,F,171
,Alabama,1,2008,2008,Brain and Other Nervous System,31010-31040,Male,M,201
,Alabama,1,2008,2008,Breast,26000,Female,F,3452
,Alabama,1,2008,2008,Breast,26000,Male,M,39
,Alabama,1,2008,2008,Cervix Uteri,27010,Female,F,198
,Alabama,1,2008,2008,Colon and Rectum,21041-21052,Female,F,1247
,Alabama,1,2008,2008,Colon and Rectum,21041-21052,Male,M,1385
,Alabama,1,2008,2008,Corpus Uteri,27020,Female,F,520
,Alabama,1,2008,2008,Esophagus,21010,Female,F,33
,Alabama,1,2008,2008,Esophagus,21010,Male,M,220
,Alabama,1,2008,2008,Gallbladder,21080,Female,F,37
,Alabama,1,2008,2008,Kidney and Renal Pelvis,29020,Female,F,335
,Alabama,1,2008,2008,Kidney and Renal Pelvis,29020,Male,M,510
,Alabama,1,2008,2008,Larynx,22020,Female,F,58
,Alabama,1,2008,2008,Larynx,22020,Male,M,244
,Alabama,1,2008,2008,Leukemias,35011-35043,Female,F,276
,Alabama,1,2008,2008,Leukemias,35011-35043,Male,M,369
,Alabama,1,2008,2008,Liver,21071,Female,F,87
,Alabama,1,2008,2008,Liver,21071,Male,M,213
,Alabama,1,2008,2008,Lung and Bronchus,22030,Female,F,1642
,Alabama,1,2008,2008,Lung and Bronchus,22030,Male,M,2488
,Alabama,1,2008,2008,Melanoma of the Skin,25010,Female,F,428
,Alabama,1,2008,2008,Melanoma of the Skin,25010,Male,M,637
,Alabama,1,2008,2008,Myeloma,34000,Female,F,132
,Alabama,1,2008,2008,Myeloma,34000,Male,M,174
,Alabama,1,2008,2008,Non-Hodgkin Lymphoma,33041-33042,Female,F,386
,Alabama,1,2008,2008,Non-Hodgkin Lymphoma,33041-33042,Male,M,412
,Alabama,1,2008,2008,Oral Cavity and Pharynx,20010-20100,Female,F,223
,Alabama,1,2008,2008,Oral Cavity and Pharynx,20010-20100,Male,M,476
,Alabama,1,2008,2008,Ovary,27040,Female,F,387
,Alabama,1,2008,2008,Pancreas,21100,Female,F,341
,Alabama,1,2008,2008,Pancreas,21100,Male,M,348
,Alabama,1,2008,2008,Prostate,28010,Male,M,3777
,Alabama,1,2008,2008,Stomach,21020,Female,F,142
,Alabama,1,2008,2008,Stomach,21020,Male,M,200
,Alabama,1,2008,2008,Thyroid,32010,Female,F,338
,Alabama,1,2008,2008,Thyroid,32010,Male,M,114
,Alabama,1,2008,2008,Urinary Bladder invasive and in situ,29010,Female,F,201
,Alabama,1,2008,2008,Urinary Bladder invasive and in situ,29010,Male,M,750
,Alabama,1,2009,2009,Brain and Other Nervous System,31010-31040,Female,F,161
,Alabama,1,2009,2009,Brain and Other Nervous System,31010-31040,Male,M,200
,Alabama,1,2009,2009,Breast,26000,Female,F,3448
,Alabama,1,2009,2009,Breast,26000,Male,M,21
,Alabama,1,2009,2009,Cervix Uteri,27010,Female,F,235
,Alabama,1,2009,2009,Colon and Rectum,21041-21052,Female,F,1172
,Alabama,1,2009,2009,Colon and Rectum,21041-21052,Male,M,1303
,Alabama,1,2009,2009,Corpus Uteri,27020,Female,F,520
,Alabama,1,2009,2009,Esophagus,21010,Female,F,51
,Alabama,1,2009,2009,Esophagus,21010,Male,M,221
,Alabama,1,2009,2009,Gallbladder,21080,Female,F,39
,Alabama,1,2009,2009,Kidney and Renal Pelvis,29020,Female,F,363
,Alabama,1,2009,2009,Kidney and Renal Pelvis,29020,Male,M,549
,Alabama,1,2009,2009,Larynx,22020,Female,F,54
,Alabama,1,2009,2009,Larynx,22020,Male,M,212
,Alabama,1,2009,2009,Leukemias,35011-35043,Female,F,309
,Alabama,1,2009,2009,Leukemias,35011-35043,Male,M,354
,Alabama,1,2009,2009,Liver,21071,Female,F,92
,Alabama,1,2009,2009,Liver,21071,Male,M,213
,Alabama,1,2009,2009,Lung and Bronchus,22030,Female,F,1639
,Alabama,1,2009,2009,Lung and Bronchus,22030,Male,M,2412
,Alabama,1,2009,2009,Melanoma of the Skin,25010,Female,F,466
,Alabama,1,2009,2009,Melanoma of the Skin,25010,Male,M,688
,Alabama,1,2009,2009,Myeloma,34000,Female,F,146
,Alabama,1,2009,2009,Myeloma,34000,Male,M,187
,Alabama,1,2009,2009,Non-Hodgkin Lymphoma,33041-33042,Female,F,376
,Alabama,1,2009,2009,Non-Hodgkin Lymphoma,33041-33042,Male,M,479
,Alabama,1,2009,2009,Oral Cavity and Pharynx,20010-20100,Female,F,177
,Alabama,1,2009,2009,Oral Cavity and Pharynx,20010-20100,Male,M,511
,Alabama,1,2009,2009,Ovary,27040,Female,F,365
,Alabama,1,2009,2009,Pancreas,21100,Female,F,306
,Alabama,1,2009,2009,Pancreas,21100,Male,M,316
,Alabama,1,2009,2009,Prostate,28010,Male,M,3854
,Alabama,1,2009,2009,Stomach,21020,Female,F,130
,Alabama,1,2009,2009,Stomach,21020,Male,M,184
,Alabama,1,2009,2009,Thyroid,32010,Female,F,287
,Alabama,1,2009,2009,Thyroid,32010,Male,M,120
,Alabama,1,2009,2009,Urinary Bladder invasive and in situ,29010,Female,F,224
,Alabama,1,2009,2009,Urinary Bladder invasive and in situ,29010,Male,M,727
,Alabama,1,2010,2010,Brain and Other Nervous System,31010-31040,Female,F,152
,Alabama,1,2010,2010,Brain and Other Nervous System,31010-31040,Male,M,180
,Alabama,1,2010,2010,Breast,26000,Female,F,3433
,Alabama,1,2010,2010,Breast,26000,Male,M,25
,Alabama,1,2010,2010,Cervix Uteri,27010,Female,F,200
,Alabama,1,2010,2010,Colon and Rectum,21041-21052,Female,F,1113
,Alabama,1,2010,2010,Colon and Rectum,21041-21052,Male,M,1265
,Alabama,1,2010,2010,Corpus Uteri,27020,Female,F,552
,Alabama,1,2010,2010,Esophagus,21010,Female,F,62
,Alabama,1,2010,2010,Esophagus,21010,Male,M,203
,Alabama,1,2010,2010,Gallbladder,21080,Female,F,26
,Alabama,1,2010,2010,Kidney and Renal Pelvis,29020,Female,F,345
,Alabama,1,2010,2010,Kidney and Renal Pelvis,29020,Male,M,541
,Alabama,1,2010,2010,Larynx,22020,Female,F,44
,Alabama,1,2010,2010,Larynx,22020,Male,M,234
,Alabama,1,2010,2010,Leukemias,35011-35043,Female,F,253
,Alabama,1,2010,2010,Leukemias,35011-35043,Male,M,358
,Alabama,1,2010,2010,Liver,21071,Female,F,91
,Alabama,1,2010,2010,Liver,21071,Male,M,226
,Alabama,1,2010,2010,Lung and Bronchus,22030,Female,F,1615
,Alabama,1,2010,2010,Lung and Bronchus,22030,Male,M,2422
